,date,open,high,low,close,volume
0,20201207  04:00:00,55.4,56.185,55.4,56.185,-1
1,20201207  04:05:00,56.185,56.185,56.185,56.185,-1
2,20201207  04:10:00,56.185,56.185,55.96,55.96,-1
3,20201207  04:15:00,55.96,55.96,55.96,55.96,-1
4,20201207  04:20:00,55.96,55.96,55.96,55.96,-1
5,20201207  04:25:00,55.96,55.96,55.53,55.53,-1
6,20201207  04:30:00,55.53,55.53,55.53,55.53,-1
7,20201207  04:35:00,55.53,55.53,55.53,55.53,-1
8,20201207  04:40:00,55.53,55.53,55.53,55.53,-1
9,20201207  04:45:00,55.53,55.53,55.53,55.53,-1
10,20201207  04:50:00,55.53,55.53,55.53,55.53,-1
11,20201207  04:55:00,55.53,55.635,55.53,55.635,-1
12,20201207  05:00:00,55.635,55.635,55.635,55.635,-1
13,20201207  05:05:00,55.635,55.635,55.53,55.53,-1
14,20201207  05:10:00,55.53,55.96,55.53,55.96,-1
15,20201207  05:15:00,55.96,55.96,55.96,55.96,-1
16,20201207  05:20:00,55.96,55.96,55.96,55.96,-1
17,20201207  05:25:00,55.96,55.96,55.96,55.96,-1
18,20201207  05:30:00,55.96,55.96,55.96,55.96,-1
19,20201207  05:35:00,55.96,56.16,55.96,56.16,-1
20,20201207  05:40:00,56.16,56.16,56.16,56.16,-1
21,20201207  05:45:00,56.16,56.16,56.16,56.16,-1
22,20201207  05:50:00,56.16,56.16,56.16,56.16,-1
23,20201207  05:55:00,56.16,56.16,56.16,56.16,-1
24,20201207  06:00:00,56.16,56.16,56.16,56.16,-1
25,20201207  06:05:00,56.16,56.16,56.16,56.16,-1
26,20201207  06:10:00,56.16,56.16,56.16,56.16,-1
27,20201207  06:15:00,56.16,56.16,56.16,56.16,-1
28,20201207  06:20:00,56.16,56.16,56.16,56.16,-1
29,20201207  06:25:00,56.16,56.16,56.16,56.16,-1
30,20201207  06:30:00,56.16,56.16,56.16,56.16,-1
31,20201207  06:35:00,56.16,56.16,56.16,56.16,-1
32,20201207  06:40:00,56.16,56.16,56.16,56.16,-1
33,20201207  06:45:00,56.16,56.16,56.16,56.16,-1
34,20201207  06:50:00,56.16,56.16,56.16,56.16,-1
35,20201207  06:55:00,56.16,56.16,56.16,56.16,-1
36,20201207  07:00:00,56.16,56.16,56.16,56.16,-1
37,20201207  07:05:00,56.16,56.16,56.16,56.16,-1
38,20201207  07:10:00,56.16,56.16,56.16,56.16,-1
39,20201207  07:15:00,56.16,56.16,56.16,56.16,-1
40,20201207  07:20:00,56.16,56.16,56.16,56.16,-1
41,20201207  07:25:00,56.16,56.16,56.16,56.16,-1
42,20201207  07:30:00,56.16,56.16,56.16,56.16,-1
43,20201207  07:35:00,56.16,56.16,56.16,56.16,-1
44,20201207  07:40:00,56.16,56.16,56.16,56.16,-1
45,20201207  07:45:00,56.16,56.16,56.16,56.16,-1
46,20201207  07:50:00,56.16,56.16,56.16,56.16,-1
47,20201207  07:55:00,56.16,56.16,56.16,56.16,-1
48,20201207  08:00:00,56.16,56.16,56.16,56.16,-1
49,20201207  08:05:00,56.16,56.16,56.16,56.16,-1
50,20201207  08:10:00,56.16,56.16,56.16,56.16,-1
51,20201207  08:15:00,56.16,56.16,56.16,56.16,-1
52,20201207  08:20:00,56.16,56.16,56.16,56.16,-1
53,20201207  08:25:00,56.16,56.16,56.16,56.16,-1
54,20201207  08:30:00,56.16,56.16,56.16,56.16,-1
55,20201207  08:35:00,56.16,56.16,56.16,56.16,-1
56,20201207  08:40:00,56.16,56.16,56.16,56.16,-1
57,20201207  08:45:00,56.16,56.16,56.16,56.16,-1
58,20201207  08:50:00,56.16,56.16,56.16,56.16,-1
59,20201207  08:55:00,56.16,56.16,56.16,56.16,-1
60,20201207  09:00:00,56.16,56.16,56.16,56.16,-1
