,date,open,high,low,close,volume
0,20201207  04:00:00,128.5,128.5,125.91,126.75,-1
1,20201207  04:05:00,126.75,127.0,126.23,126.75,-1
2,20201207  04:10:00,126.75,127.0,126.225,126.75,-1
3,20201207  04:15:00,126.75,127.0,126.215,126.75,-1
4,20201207  04:20:00,126.75,127.0,126.225,126.75,-1
5,20201207  04:25:00,126.75,127.0,125.91,126.41,-1
6,20201207  04:30:00,126.41,127.0,125.745,125.9,-1
7,20201207  04:35:00,125.9,126.47,125.77,126.4,-1
8,20201207  04:40:00,126.4,126.48,125.745,125.9,-1
9,20201207  04:45:00,125.9,126.495,125.74,126.07,-1
10,20201207  04:50:00,126.07,126.51,125.755,125.9,-1
11,20201207  04:55:00,125.9,126.55,125.79,125.9,-1
12,20201207  05:00:00,125.9,126.54,125.81,125.9,-1
13,20201207  05:05:00,125.9,126.555,125.87,125.9,-1
14,20201207  05:10:00,125.9,126.575,125.885,125.9,-1
15,20201207  05:15:00,125.9,126.585,125.9,126.07,-1
16,20201207  05:20:00,126.07,126.725,125.9,125.91,-1
17,20201207  05:25:00,125.91,126.73,125.91,126.08,-1
18,20201207  05:30:00,126.08,126.755,125.91,126.045,-1
19,20201207  05:35:00,126.045,127.0,126.035,126.205,-1
20,20201207  05:40:00,126.205,126.84,126.0,126.19,-1
21,20201207  05:45:00,126.19,127.005,126.025,126.545,-1
22,20201207  05:50:00,126.545,126.755,126.02,126.54,-1
23,20201207  05:55:00,126.54,126.87,126.035,126.545,-1
24,20201207  06:00:00,126.545,126.845,126.02,126.035,-1
25,20201207  06:05:00,126.035,126.75,126.03,126.21,-1
26,20201207  06:10:00,126.21,127.085,126.04,126.225,-1
27,20201207  06:15:00,126.225,126.91,126.035,126.54,-1
28,20201207  06:20:00,126.54,126.855,126.03,126.55,-1
29,20201207  06:25:00,126.55,126.925,126.045,126.24,-1
30,20201207  06:30:00,126.24,127.105,126.1,126.275,-1
31,20201207  06:35:00,126.275,126.94,126.1,126.605,-1
32,20201207  06:40:00,126.605,127.095,126.1,126.615,-1
33,20201207  06:45:00,126.615,127.005,126.1,126.75,-1
34,20201207  06:50:00,126.75,126.75,126.75,126.75,-1
35,20201207  06:55:00,126.75,126.75,126.75,126.75,-1
36,20201207  07:00:00,126.75,126.75,126.75,126.75,-1
37,20201207  07:05:00,126.75,126.75,126.75,126.75,-1
38,20201207  07:10:00,126.75,126.75,126.75,126.75,-1
39,20201207  07:15:00,126.75,126.75,126.75,126.75,-1
40,20201207  07:20:00,126.75,126.75,126.75,126.75,-1
41,20201207  07:25:00,126.75,126.75,126.75,126.75,-1
42,20201207  07:30:00,126.75,126.75,126.75,126.75,-1
43,20201207  07:35:00,126.75,126.75,126.75,126.75,-1
44,20201207  07:40:00,126.75,126.75,126.75,126.75,-1
45,20201207  07:45:00,126.75,126.75,126.75,126.75,-1
46,20201207  07:50:00,126.75,126.75,126.75,126.75,-1
47,20201207  07:55:00,126.75,126.75,126.75,126.75,-1
48,20201207  08:00:00,126.75,126.75,126.75,126.75,-1
49,20201207  08:05:00,126.75,126.75,126.75,126.75,-1
50,20201207  08:10:00,126.75,126.75,126.75,126.75,-1
51,20201207  08:15:00,126.75,126.75,126.75,126.75,-1
52,20201207  08:20:00,126.75,126.75,126.75,126.75,-1
53,20201207  08:25:00,126.75,126.75,126.75,126.75,-1
54,20201207  08:30:00,126.75,126.75,126.75,126.75,-1
