,date,open,high,low,close,volume
0,20201207  04:00:00,57.12,57.62,57.115,57.195,-1
1,20201207  04:05:00,57.195,57.265,57.07,57.125,-1
2,20201207  04:10:00,57.125,57.145,57.055,57.07,-1
3,20201207  04:15:00,57.07,57.275,57.045,57.26,-1
4,20201207  04:20:00,57.26,57.305,57.225,57.245,-1
5,20201207  04:25:00,57.245,57.355,57.235,57.345,-1
6,20201207  04:30:00,57.345,57.505,57.345,57.48,-1
7,20201207  04:35:00,57.48,57.515,57.455,57.46,-1
8,20201207  04:40:00,57.46,57.54,57.45,57.505,-1
9,20201207  04:45:00,57.505,57.635,57.5,57.62,-1
10,20201207  04:50:00,57.62,57.635,57.535,57.6,-1
11,20201207  04:55:00,57.6,57.665,57.58,57.605,-1
12,20201207  05:00:00,57.605,57.63,57.55,57.61,-1
13,20201207  05:05:00,57.61,57.735,57.605,57.73,-1
14,20201207  05:10:00,57.73,57.77,57.715,57.755,-1
15,20201207  05:15:00,57.755,57.825,57.675,57.825,-1
16,20201207  05:20:00,57.825,57.865,57.815,57.835,-1
17,20201207  05:25:00,57.835,58.015,57.835,57.995,-1
18,20201207  05:30:00,57.995,58.005,57.725,57.795,-1
19,20201207  05:35:00,57.795,57.875,57.785,57.83,-1
20,20201207  05:40:00,57.83,57.87,57.735,57.83,-1
21,20201207  05:45:00,57.83,57.89,57.75,57.865,-1
22,20201207  05:50:00,57.865,57.9,57.81,57.85,-1
23,20201207  05:55:00,57.85,57.9,57.735,57.74,-1
24,20201207  06:00:00,57.74,57.845,57.675,57.82,-1
25,20201207  06:05:00,57.82,57.83,57.73,57.825,-1
26,20201207  06:10:00,57.825,57.915,57.81,57.905,-1
27,20201207  06:15:00,57.905,57.945,57.87,57.895,-1
28,20201207  06:20:00,57.895,57.97,57.88,57.96,-1
29,20201207  06:25:00,57.96,58.01,57.935,57.965,-1
30,20201207  06:30:00,57.965,58.1,57.925,58.06,-1
31,20201207  06:35:00,58.06,58.14,58.055,58.08,-1
32,20201207  06:40:00,58.08,58.1,58.015,58.04,-1
33,20201207  06:45:00,58.04,58.055,58.005,58.055,-1
34,20201207  06:50:00,58.055,58.055,58.055,58.055,-1
35,20201207  06:55:00,58.055,58.055,58.055,58.055,-1
36,20201207  07:00:00,58.055,58.055,58.055,58.055,-1
37,20201207  07:05:00,58.055,58.055,58.055,58.055,-1
38,20201207  07:10:00,58.055,58.055,58.055,58.055,-1
39,20201207  07:15:00,58.055,58.055,58.055,58.055,-1
40,20201207  07:20:00,58.055,58.055,58.055,58.055,-1
41,20201207  07:25:00,58.055,58.055,58.055,58.055,-1
42,20201207  07:30:00,58.055,58.055,58.055,58.055,-1
43,20201207  07:35:00,58.055,58.055,58.055,58.055,-1
44,20201207  07:40:00,58.055,58.055,58.055,58.055,-1
45,20201207  07:45:00,58.055,58.055,58.055,58.055,-1
46,20201207  07:50:00,58.055,58.055,58.055,58.055,-1
47,20201207  07:55:00,58.055,58.055,58.055,58.055,-1
48,20201207  08:00:00,58.055,58.055,58.055,58.055,-1
49,20201207  08:05:00,58.055,58.055,58.055,58.055,-1
