,reqid,date,open,high,low,close,volume
0,4104,20201211  09:30:00,6.95,7.35,6.4,6.6,-1
1,4104,20201211  09:35:00,6.6,6.85,6.525,6.725,-1
2,4104,20201211  09:40:00,6.725,6.775,5.825,5.825,-1
3,4104,20201211  09:45:00,5.825,6.4,5.775,6.375,-1
4,4104,20201211  09:50:00,6.375,6.5,5.975,6.375,-1
5,4104,20201211  09:55:00,6.375,6.675,6.275,6.5,-1
6,4104,20201211  10:00:00,6.5,6.675,6.4,6.5,-1
7,4104,20201211  10:05:00,6.5,6.55,6.275,6.55,-1
8,4104,20201211  10:10:00,6.55,7.125,6.55,7.05,-1
9,4104,20201211  10:15:00,7.05,7.05,6.8,6.85,-1
10,4104,20201211  10:20:00,6.85,6.875,6.65,6.65,-1
11,4104,20201211  10:25:00,6.65,7.025,6.625,6.9,-1
12,4104,20201211  10:30:00,6.9,6.9,6.4,6.575,-1
13,4104,20201211  10:35:00,6.575,6.775,6.525,6.7,-1
14,4104,20201211  10:40:00,6.7,6.7,6.525,6.525,-1
15,4104,20201211  10:45:00,6.525,6.575,6.375,6.375,-1
16,4104,20201211  10:50:00,6.375,6.4,6.075,6.2,-1
17,4104,20201211  10:55:00,6.2,6.325,6.05,6.275,-1
18,4104,20201211  11:00:00,6.275,6.525,6.275,6.475,-1
19,4104,20201211  11:05:00,6.475,6.625,6.3,6.3,-1
20,4104,20201211  11:10:00,6.3,6.35,6.15,6.35,-1
21,4104,20201211  11:15:00,6.35,6.475,6.25,6.375,-1
22,4104,20201211  11:20:00,6.375,6.375,5.9,5.95,-1
23,4104,20201211  11:25:00,5.95,6.0,5.8,5.8,-1
24,4104,20201211  11:30:00,5.8,6.0,5.8,5.975,-1
25,4104,20201211  11:35:00,5.975,5.975,5.625,5.675,-1
26,4104,20201211  11:40:00,5.675,5.8,5.575,5.6,-1
27,4104,20201211  11:45:00,5.6,5.7,5.45,5.65,-1
28,4104,20201211  11:50:00,5.65,5.775,5.65,5.725,-1
29,4104,20201211  11:55:00,5.725,5.75,5.625,5.725,-1
30,4104,20201211  12:00:00,5.725,6.025,5.725,5.875,-1
31,4104,20201211  12:05:00,5.875,5.95,5.7,5.825,-1
32,4104,20201211  12:10:00,5.825,5.85,5.525,5.575,-1
33,4104,20201211  12:15:00,5.575,5.65,5.5,5.525,-1
34,4104,20201211  12:20:00,5.525,5.55,5.25,5.375,-1
35,4104,20201211  12:25:00,5.375,5.55,5.275,5.5,-1
36,4104,20201211  12:30:00,5.5,5.525,5.3,5.3,-1
37,4104,20201211  12:35:00,5.3,5.425,5.2,5.275,-1
38,4104,20201211  12:40:00,5.275,5.45,5.275,5.375,-1
39,4104,20201211  12:45:00,5.375,5.5,5.35,5.475,-1
40,4104,20201211  12:50:00,5.475,5.625,5.425,5.625,-1
41,4104,20201211  12:55:00,5.625,5.7,5.55,5.7,-1
42,4104,20201211  13:00:00,5.7,5.875,5.65,5.875,-1
43,4104,20201211  13:05:00,5.875,5.95,5.8,5.9,-1
44,4104,20201211  13:10:00,5.9,6.2,5.9,6.125,-1
45,4104,20201211  13:15:00,6.125,6.2,5.975,6.05,-1
46,4104,20201211  13:20:00,6.05,6.05,5.85,5.9,-1
47,4104,20201211  13:25:00,5.9,5.95,5.8,5.95,-1
48,4104,20201211  13:30:00,5.95,6.225,5.95,6.225,-1
49,4104,20201211  13:35:00,6.225,6.475,6.225,6.475,-1
50,4104,20201211  13:40:00,6.475,6.5,6.3,6.375,-1
51,4104,20201211  13:45:00,6.375,6.425,6.25,6.4,-1
52,4104,20201211  13:50:00,6.4,6.7,6.4,6.7,-1
53,4104,20201211  13:55:00,6.7,6.9,6.65,6.7,-1
54,4104,20201211  14:00:00,6.7,6.7,6.55,6.625,-1
55,4104,20201211  14:05:00,6.625,6.75,6.575,6.725,-1
56,4104,20201211  14:10:00,6.725,6.8,6.675,6.7,-1
57,4104,20201211  14:15:00,6.7,6.775,6.625,6.725,-1
58,4104,20201211  14:20:00,6.725,6.8,6.675,6.8,-1
59,4104,20201211  14:25:00,6.8,6.8,6.675,6.725,-1
60,4104,20201211  14:30:00,6.725,7.125,6.725,7.025,-1
61,4104,20201211  14:35:00,7.025,7.025,6.925,6.975,-1
62,4104,20201211  14:40:00,6.975,7.025,6.925,7.0,-1
63,4104,20201211  14:45:00,7.0,7.125,6.9,7.0,-1
64,4104,20201211  14:50:00,7.0,7.05,6.8,6.8,-1
65,4104,20201211  14:55:00,6.8,6.85,6.75,6.8,-1
66,4104,20201211  15:00:00,6.8,6.9,6.575,6.575,-1
67,4104,20201211  15:05:00,6.575,6.625,6.475,6.55,-1
68,4104,20201211  15:10:00,6.55,6.8,6.55,6.8,-1
69,4104,20201211  15:15:00,6.8,7.425,6.8,7.35,-1
70,4104,20201211  15:20:00,7.35,7.35,6.925,7.0,-1
71,4104,20201211  15:25:00,7.0,7.075,6.9,6.9,-1
72,4104,20201211  15:30:00,6.9,7.05,6.775,6.95,-1
73,4104,20201211  15:35:00,6.95,7.025,6.95,7.0,-1
74,4104,20201211  15:40:00,7.0,7.1,6.925,6.925,-1
75,4104,20201211  15:45:00,6.925,6.925,6.45,6.55,-1
76,4104,20201211  15:50:00,6.55,6.825,6.5,6.825,-1
77,4104,20201211  15:55:00,6.825,7.125,6.725,7.075,-1
78,4106,20201211  09:30:00,7.45,8.05,6.5,6.7,-1
79,4106,20201211  09:35:00,6.7,7.0,6.65,6.9,-1
80,4106,20201211  09:40:00,6.9,6.95,5.95,6.0,-1
81,4106,20201211  09:45:00,6.0,6.5,5.95,6.45,-1
82,4106,20201211  09:50:00,6.45,6.65,6.1,6.55,-1
83,4106,20201211  09:55:00,6.55,6.75,6.45,6.7,-1
84,4106,20201211  10:00:00,6.7,6.75,6.5,6.6,-1
85,4106,20201211  10:05:00,6.6,6.65,6.4,6.65,-1
86,4106,20201211  10:10:00,6.65,7.2,6.65,7.2,-1
87,4106,20201211  10:15:00,7.2,7.2,6.95,7.05,-1
88,4106,20201211  10:20:00,7.05,7.05,6.8,6.8,-1
89,4106,20201211  10:25:00,6.8,7.15,6.75,7.0,-1
90,4106,20201211  10:30:00,7.0,7.0,6.5,6.75,-1
91,4106,20201211  10:35:00,6.75,6.95,6.6,6.8,-1
92,4106,20201211  10:40:00,6.8,6.8,6.65,6.65,-1
93,4106,20201211  10:45:00,6.65,6.75,6.45,6.5,-1
94,4106,20201211  10:50:00,6.5,6.5,6.15,6.3,-1
95,4106,20201211  10:55:00,6.3,6.4,6.1,6.4,-1
96,4106,20201211  11:00:00,6.4,6.65,6.4,6.5,-1
97,4106,20201211  11:05:00,6.5,6.65,6.4,6.4,-1
98,4106,20201211  11:10:00,6.4,6.5,6.2,6.5,-1
99,4106,20201211  11:15:00,6.5,6.55,6.3,6.5,-1
100,4106,20201211  11:20:00,6.5,6.5,5.95,6.0,-1
101,4106,20201211  11:25:00,6.0,6.1,5.9,5.9,-1
102,4106,20201211  11:30:00,5.9,6.05,5.9,6.05,-1
103,4106,20201211  11:35:00,6.05,6.05,5.65,5.75,-1
104,4106,20201211  11:40:00,5.75,5.9,5.7,5.75,-1
105,4106,20201211  11:45:00,5.75,5.8,5.55,5.75,-1
106,4106,20201211  11:50:00,5.75,5.85,5.75,5.8,-1
107,4106,20201211  11:55:00,5.8,5.85,5.7,5.85,-1
108,4106,20201211  12:00:00,5.85,6.1,5.85,6.0,-1
109,4106,20201211  12:05:00,6.0,6.0,5.75,5.9,-1
110,4106,20201211  12:10:00,5.9,5.9,5.55,5.65,-1
111,4106,20201211  12:15:00,5.65,5.75,5.6,5.65,-1
112,4106,20201211  12:20:00,5.65,5.65,5.3,5.4,-1
113,4106,20201211  12:25:00,5.4,5.6,5.35,5.55,-1
114,4106,20201211  12:30:00,5.55,5.6,5.35,5.35,-1
115,4106,20201211  12:35:00,5.35,5.45,5.25,5.35,-1
116,4106,20201211  12:40:00,5.35,5.55,5.35,5.45,-1
117,4106,20201211  12:45:00,5.45,5.55,5.45,5.55,-1
118,4106,20201211  12:50:00,5.55,5.7,5.5,5.7,-1
119,4106,20201211  12:55:00,5.7,5.8,5.6,5.8,-1
120,4106,20201211  13:00:00,5.8,5.95,5.75,5.95,-1
121,4106,20201211  13:05:00,5.95,6.0,5.85,6.0,-1
122,4106,20201211  13:10:00,6.0,6.35,6.0,6.2,-1
123,4106,20201211  13:15:00,6.2,6.25,6.05,6.15,-1
124,4106,20201211  13:20:00,6.15,6.15,5.9,6.0,-1
125,4106,20201211  13:25:00,6.0,6.0,5.85,6.0,-1
126,4106,20201211  13:30:00,6.0,6.35,6.0,6.35,-1
127,4106,20201211  13:35:00,6.35,6.6,6.25,6.6,-1
128,4106,20201211  13:40:00,6.6,6.6,6.35,6.45,-1
129,4106,20201211  13:45:00,6.45,6.5,6.3,6.5,-1
