,date,open,high,low,close,volume
0,20201207  04:00:00,123.925,123.925,121.665,121.765,-1
1,20201207  04:05:00,121.765,121.765,121.24,121.535,-1
2,20201207  04:10:00,121.535,121.54,121.335,121.425,-1
3,20201207  04:15:00,121.425,121.595,121.385,121.56,-1
4,20201207  04:20:00,121.56,121.655,121.535,121.655,-1
5,20201207  04:25:00,121.655,121.71,121.43,121.46,-1
6,20201207  04:30:00,121.46,121.665,121.46,121.62,-1
7,20201207  04:35:00,121.62,121.67,121.52,121.565,-1
8,20201207  04:40:00,121.565,121.58,121.415,121.465,-1
9,20201207  04:45:00,121.465,121.545,121.445,121.525,-1
10,20201207  04:50:00,121.525,121.53,121.44,121.5,-1
11,20201207  04:55:00,121.5,121.585,121.44,121.53,-1
12,20201207  05:00:00,121.53,121.585,121.525,121.57,-1
13,20201207  05:05:00,121.57,121.57,121.49,121.49,-1
14,20201207  05:10:00,121.49,121.705,121.49,121.67,-1
15,20201207  05:15:00,121.67,121.82,121.665,121.815,-1
16,20201207  05:20:00,121.815,121.875,121.76,121.81,-1
17,20201207  05:25:00,121.81,121.86,121.755,121.77,-1
18,20201207  05:30:00,121.77,121.81,121.62,121.645,-1
19,20201207  05:35:00,121.645,121.78,121.645,121.745,-1
20,20201207  05:40:00,121.745,121.82,121.745,121.81,-1
21,20201207  05:45:00,121.81,121.86,121.79,121.84,-1
22,20201207  05:50:00,121.84,121.84,121.815,121.815,-1
23,20201207  05:55:00,121.815,121.845,121.805,121.815,-1
24,20201207  06:00:00,121.815,122.195,121.815,122.15,-1
25,20201207  06:05:00,122.15,122.23,122.145,122.19,-1
26,20201207  06:10:00,122.19,122.33,122.19,122.33,-1
27,20201207  06:15:00,122.33,122.435,122.27,122.355,-1
28,20201207  06:20:00,122.355,122.395,122.325,122.365,-1
29,20201207  06:25:00,122.365,122.37,122.205,122.27,-1
30,20201207  06:30:00,122.27,122.315,122.225,122.25,-1
31,20201207  06:35:00,122.25,122.255,122.17,122.22,-1
32,20201207  06:40:00,122.22,122.245,122.205,122.245,-1
33,20201207  06:45:00,122.245,122.245,122.225,122.225,-1
