,date,open,high,low,close,volume
0,20201207  04:00:00,164.95,166.545,164.95,166.005,-1
1,20201207  04:05:00,166.005,166.135,165.835,165.93,-1
2,20201207  04:10:00,165.93,166.035,165.78,165.94,-1
3,20201207  04:15:00,165.94,166.345,165.84,166.305,-1
4,20201207  04:20:00,166.305,166.485,166.26,166.44,-1
5,20201207  04:25:00,166.44,166.53,166.23,166.35,-1
6,20201207  04:30:00,166.35,166.61,166.275,166.6,-1
7,20201207  04:35:00,166.6,166.685,166.44,166.485,-1
8,20201207  04:40:00,166.485,166.685,166.465,166.58,-1
9,20201207  04:45:00,166.58,166.88,166.515,166.62,-1
10,20201207  04:50:00,166.62,166.74,166.5,166.535,-1
11,20201207  04:55:00,166.535,166.6,166.34,166.55,-1
12,20201207  05:00:00,166.55,166.65,166.505,166.58,-1
13,20201207  05:05:00,166.58,166.735,166.535,166.67,-1
14,20201207  05:10:00,166.67,166.82,166.665,166.8,-1
15,20201207  05:15:00,166.8,167.145,166.73,167.135,-1
16,20201207  05:20:00,167.135,167.165,166.98,167.0,-1
17,20201207  05:25:00,167.0,167.32,166.965,167.295,-1
18,20201207  05:30:00,167.295,167.475,167.07,167.09,-1
19,20201207  05:35:00,167.09,167.295,167.025,167.185,-1
20,20201207  05:40:00,167.185,167.3,167.07,167.12,-1
21,20201207  05:45:00,167.12,167.22,166.975,167.115,-1
22,20201207  05:50:00,167.115,167.225,167.045,167.095,-1
23,20201207  05:55:00,167.095,167.275,167.08,167.08,-1
24,20201207  06:00:00,167.08,167.17,166.895,167.04,-1
25,20201207  06:05:00,167.04,167.26,167.0,167.24,-1
26,20201207  06:10:00,167.24,167.4,167.175,167.385,-1
27,20201207  06:15:00,167.385,167.45,167.285,167.31,-1
28,20201207  06:20:00,167.31,167.44,167.175,167.36,-1
29,20201207  06:25:00,167.36,167.54,167.275,167.38,-1
30,20201207  06:30:00,167.38,167.465,167.31,167.36,-1
31,20201207  06:35:00,167.36,167.39,167.165,167.2,-1
32,20201207  06:40:00,167.2,167.46,167.13,167.34,-1
33,20201207  06:45:00,167.34,167.35,167.26,167.27,-1
34,20201207  06:50:00,167.27,167.27,167.27,167.27,-1
35,20201207  06:55:00,167.27,167.27,167.27,167.27,-1
36,20201207  07:00:00,167.27,167.27,167.27,167.27,-1
37,20201207  07:05:00,167.27,167.27,167.27,167.27,-1
38,20201207  07:10:00,167.27,167.27,167.27,167.27,-1
39,20201207  07:15:00,167.27,167.27,167.27,167.27,-1
40,20201207  07:20:00,167.27,167.27,167.27,167.27,-1
41,20201207  07:25:00,167.27,167.27,167.27,167.27,-1
42,20201207  07:30:00,167.27,167.27,167.27,167.27,-1
